
"role_id";"role_person_id";"role_company_id";"role_type";"role_title";"role_percent";"role_start_date";"role_end_date";"role_date_approximate";"role_source_url";"role_google_doc_url"
16;16;12;'management';'director';NULL;'2011-02-02';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rddEg1d3RHRWo5Qkk'
17;17;9;'management';'director';NULL;'2012-10-31';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdOExJbHpwUlAwdzQ'
18;18;21;'management';'director';NULL;'2011-02-15';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rddm03d3I4UlVzdnM'
19;19;26;'management';'director';NULL;'2014-05-19';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdRXZrRExKbFlPcms'
20;20;29;'management';'director';NULL;'2013-04-05';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdNVNXMW1CT0QtWWc'
21;21;9;'management';'director';NULL;'2011-05-23';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdOExJbHpwUlAwdzQ'
22;22;15;'management';'director';NULL;'2011-11-21';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdN3o1ZjVwSVJRUFU'
23;23;21;'management';'director';NULL;'2011-02-15';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rddm03d3I4UlVzdnM'
24;24;9;'management';'director';NULL;'2010-02-18';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdOExJbHpwUlAwdzQ'
25;25;15;'management';'director';NULL;'2011-11-21';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdN3o1ZjVwSVJRUFU'
26;26;29;'management';'director';NULL;'2012-05-07';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdNVNXMW1CT0QtWWc'
27;27;15;'management';'director';NULL;'2011-11-21';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdN3o1ZjVwSVJRUFU'
28;28;9;'management';'director';NULL;'2010-05-03';'2012-10-31';0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdOExJbHpwUlAwdzQ'
29;29;26;'management';'director';NULL;'2014-05-19';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdRXZrRExKbFlPcms'
30;30;21;'management';'director';NULL;'2011-02-15';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rddm03d3I4UlVzdnM'
31;31;6;'management';'director';NULL;'2008-10-21';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdbzNjUE01M3ptX28'
32;32;20;'management';'public officer';NULL;'2014-03-14';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdX0M1QzBvbElQQzg'
33;33;12;'management';'director';NULL;'2013-05-10';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rddEg1d3RHRWo5Qkk'
34;34;34;'management';'director';NULL;'2013-05-08';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdVHFVdUVBdjVrOFk'
35;35;2;'management';'director';NULL;'2011-12-14';'2013-08-21';0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdWWUzamVSYTllRGc'
36;36;17;'management';'director';NULL;'2012-12-13';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdYXdRdFJqMENaTlU'
37;37;15;'management';'director';NULL;'2011-11-21';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdN3o1ZjVwSVJRUFU'
38;38;2;'management';'director';NULL;'2011-11-29';'2011-12-14';0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdWWUzamVSYTllRGc'
39;39;12;'management';'director';NULL;'2008-09-01';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rddEg1d3RHRWo5Qkk'
40;40;2;'management';'director';NULL;'2011-12-14';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdWWUzamVSYTllRGc'
41;41;21;'management';'director';NULL;'2011-05-09';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rddm03d3I4UlVzdnM'
42;42;2;'management';'director';NULL;'2011-12-14';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdWWUzamVSYTllRGc'
43;43;26;'management';'director';NULL;'2014-05-19';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdRXZrRExKbFlPcms'
44;44;9;'management';'director';NULL;'2010-05-03';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdOExJbHpwUlAwdzQ'
45;45;29;'management';'director';NULL;'2012-05-07';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdNVNXMW1CT0QtWWc'
46;46;12;'management';'director';NULL;'2011-02-02';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rddEg1d3RHRWo5Qkk'
47;47;9;'management';'director';NULL;'2010-05-03';NULL;0;'';'https://drive.google.com/open?id=0BxJXmk2XL1rdOExJbHpwUlAwdzQ'

